Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1946,Cincinnati Reds,NL,156,67,87,2,0.435,0.461,6th of 8,30,,523,570,"715,751",28.4,31.5,35,15,G.Hatton (3.4),B.McKechnie (64-86) and H.Gowdy (3-1)
1945,Cincinnati Reds,NL,154,61,93,0,0.396,0.384,7th of 8,37,,536,694,"290,070",29.2,32.9,34,17,B.Walters (4.7),B.McKechnie (61-93)
1944,Cincinnati Reds,NL,155,89,65,1,0.578,0.53,3rd of 8,16,,573,537,"409,567",30.4,31.7,39,18,B.Walters (6.2),B.McKechnie (89-65)
1943,Cincinnati Reds,NL,155,87,67,1,0.565,0.552,2nd of 8,18,,608,543,"379,122",30,31.6,30,10,L.Frey (5.2),B.McKechnie (87-67)
1942,Cincinnati Reds,NL,154,76,76,2,0.5,0.485,4th of 8,29,,527,545,"427,031",28.7,31.2,35,11,L.Frey (5.6),B.McKechnie (76-76)
1941,Cincinnati Reds,NL,154,88,66,0,0.571,0.54,3rd of 8,12,,616,564,"643,513",28.8,29.8,35,12,B.Walters (7.0),B.McKechnie (88-66)
1940,Cincinnati Reds,NL,155,100,53,2,0.654,0.63,1st of 8,--,Won WS (4-3),707,528,"850,180",28.9,29.6,33,12,B.Walters (6.9),B.McKechnie (100-53)
1939,Cincinnati Reds,NL,156,97,57,2,0.63,0.614,1st of 8,--,Lost WS (4-0),767,595,"981,443",28.8,28.9,38,17,B.Walters (9.7),B.McKechnie (97-57)
1938,Cincinnati Reds,NL,151,82,68,1,0.547,0.56,4th of 8,6,,723,634,"706,756",28.1,29.1,34,13,I.Goodman (6.2),B.McKechnie (82-68)
1937,Cincinnati Reds,NL,155,56,98,1,0.364,0.435,8th of 8,40,,612,706,"411,221",28.6,28.8,43,15,L.Grissom (4.2),C.Dressen (51-78) and B.Wallace (5-20)
1936,Cincinnati Reds,NL,154,74,80,0,0.481,0.477,5th of 8,18,,722,760,"466,345",27.9,28.1,33,16,K.Cuyler (4.1),C.Dressen (74-80)
1935,Cincinnati Reds,NL,154,68,85,1,0.444,0.419,6th of 8,31.5,,646,772,"448,247",27.4,27.5,33,12,E.Lombardi (3.7),C.Dressen (68-85)
1934,Cincinnati Reds,NL,152,52,99,1,0.344,0.364,8th of 8,42,,590,801,"206,773",29.7,29.1,41,18,B.Frey (4.5),"B.O'Farrell (30-60), B.Shotton (1-0) and C.Dressen (21-39)"
1933,Cincinnati Reds,NL,153,58,94,1,0.382,0.383,8th of 8,33,,496,643,"218,281",30.8,31.5,28,10,C.Hafey (3.4),D.Bush (58-94)
1932,Cincinnati Reds,NL,155,60,94,1,0.39,0.402,8th of 8,30,,575,715,"356,950",29.6,30.8,29,10,B.Herman (6.4),D.Howley (60-94)
1931,Cincinnati Reds,NL,154,58,96,0,0.377,0.398,8th of 8,43,,592,742,"263,316",29.3,29.7,32,12,T.Cuccinello (4.9),D.Howley (58-96)
1930,Cincinnati Reds,NL,154,59,95,0,0.383,0.386,7th of 8,33,,665,857,"386,727",29.6,30.4,33,14,H.Heilmann (4.5),D.Howley (59-95)
1929,Cincinnati Reds,NL,155,66,88,1,0.429,0.453,7th of 8,33,,686,760,"295,040",29.7,32,31,13,R.Lucas (6.1),J.Hendricks (66-88)
1928,Cincinnati Reds,NL,153,78,74,1,0.513,0.474,5th of 8,16,,648,686,"490,490",29.9,32.2,29,13,E.Rixey (4.1),J.Hendricks (78-74)
1927,Cincinnati Reds,NL,153,75,78,0,0.49,0.493,5th of 8,18.5,,643,653,"442,164",29.8,31.2,29,10,R.Lucas (5.8),J.Hendricks (75-78)
1926,Cincinnati Reds,NL,157,87,67,3,0.565,0.563,2nd of 8,2,,747,651,"672,987",29.9,30.7,33,12,C.Mays (4.4),J.Hendricks (87-67)
1925,Cincinnati Reds,NL,153,80,73,0,0.523,0.532,3rd of 8,15,,690,643,"464,920",29.6,30.8,34,11,P.Donohue (6.9),J.Hendricks (80-73)
1924,Cincinnati Reds,NL,153,83,70,0,0.542,0.552,4th of 8,10,,649,579,"473,707",29.8,30.4,32,9,E.Rixey (5.2),J.Hendricks (83-70)
1923,Cincinnati Reds,NL,154,91,63,0,0.591,0.554,2nd of 8,4.5,,708,629,"575,063",29.8,28.8,29,11,D.Luque (10.9),P.Moran (91-63)
1922,Cincinnati Reds,NL,156,86,68,2,0.558,0.556,2nd of 8,7,,766,677,"493,754",29.1,27.7,24,9,J.Daubert (4.0),P.Moran (86-68)
1921,Cincinnati Reds,NL,153,70,83,0,0.458,0.478,6th of 8,24,,618,649,"311,227",28.5,30,30,12,D.Luque (5.1),P.Moran (70-83)
1920,Cincinnati Reds,NL,154,82,71,1,0.536,0.553,3rd of 8,10.5,,639,569,"568,107",29.1,27.8,26,14,E.Roush (5.9),P.Moran (82-71)
1919,Cincinnati Reds,NL,140,96,44,0,0.686,0.661,1st of 8,--,Won WS (5-3),577,401,"532,501",28.9,27.4,27,10,H.Groh (5.4),P.Moran (96-44)
1918,Cincinnati Reds,NL,129,68,60,1,0.531,0.53,3rd of 8,15.5,,530,496,"163,009",28.4,24.8,26,13,H.Groh (4.7),C.Mathewson (61-57) and H.Groh (7-3)
1917,Cincinnati Reds,NL,157,78,76,3,0.506,0.492,4th of 8,20,,601,611,"269,056",27.7,25,29,13,H.Groh (7.0),C.Mathewson (78-76)
1916,Cincinnati Reds,NL,155,60,93,2,0.392,0.409,7th of 8,33.5,,505,617,"255,846",27.3,25.9,33,11,H.Groh (5.3),"B.Herzog (34-49), I.Wingo (1-1) and C.Mathewson (25-43)"
1915,Cincinnati Reds,NL,160,71,83,6,0.461,0.443,7th of 8,20,,516,585,"218,878",27.1,24.5,29,13,F.Toney (7.3),B.Herzog (71-83)
1914,Cincinnati Reds,NL,157,60,94,3,0.39,0.407,8th of 8,34.5,,530,651,"100,791",26.7,25.3,43,15,B.Herzog (5.3),B.Herzog (60-94)
1913,Cincinnati Reds,NL,156,64,89,3,0.418,0.424,7th of 8,37.5,,607,717,"258,000",27,28.2,45,20,J.Tinker (3.8),J.Tinker (64-89)
1912,Cincinnati Reds,NL,155,75,78,2,0.49,0.456,4th of 8,29,,656,722,"344,000",26.4,26.9,41,24,G.Suggs (5.1),H.O'Day (75-78)
1911,Cincinnati Reds,NL,159,70,83,6,0.458,0.484,6th of 8,29,,682,706,"300,000",26.6,28.1,32,14,B.Keefe (4.7),C.Griffith (70-83)
1910,Cincinnati Reds,NL,156,75,79,2,0.487,0.455,5th of 8,29,,620,684,"380,622",26.2,27,41,15,G.Suggs (4.8),C.Griffith (75-79)
