Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1919,St. Louis Cardinals,NL,138,54,83,1,0.394,0.42,7th of 8,40.5,,463,552,"167,059",25.9,26.2,37,15,R.Hornsby (6.7),B.Rickey (54-83)
1918,St. Louis Cardinals,NL,131,51,78,2,0.395,0.432,8th of 8,33,,454,527,"110,599",25.8,26.7,36,11,R.Hornsby (5.4),J.Hendricks (51-78)
1917,St. Louis Cardinals,NL,154,82,70,2,0.539,0.47,3rd of 8,15,,531,567,"288,491",25.5,26.4,33,13,R.Hornsby (9.9),M.Huggins (82-70)
1916,St. Louis Cardinals,NL,153,60,93,0,0.392,0.375,7th of 8,33.5,,476,629,"224,308",25.9,26,30,13,R.Hornsby (4.9),M.Huggins (60-93)
1915,St. Louis Cardinals,NL,157,72,81,4,0.471,0.492,6th of 8,18.5,,590,601,"252,666",27.6,26.7,28,10,F.Snyder (5.3),M.Huggins (72-81)
1914,St. Louis Cardinals,NL,157,81,72,4,0.529,0.515,3rd of 8,13,,558,540,"256,099",27.4,25.9,31,11,S.Sallee (5.8),M.Huggins (81-72)
1913,St. Louis Cardinals,NL,153,51,99,3,0.34,0.342,8th of 8,49,,528,755,"203,531",27.9,24.9,40,18,S.Sallee (6.3),M.Huggins (51-99)
1912,St. Louis Cardinals,NL,153,63,90,0,0.412,0.396,6th of 8,41,,659,830,"241,759",26.1,25,41,16,S.Sallee (5.4),R.Bresnahan (63-90)
1911,St. Louis Cardinals,NL,158,75,74,9,0.503,0.452,5th of 8,22,,671,745,"447,768",26.2,24.1,38,18,E.Konetchy (5.2),R.Bresnahan (75-74)
1910,St. Louis Cardinals,NL,153,63,90,0,0.412,0.447,7th of 8,40.5,,639,718,"355,668",26.4,25.3,36,21,E.Konetchy (5.1),R.Bresnahan (63-90)
1909,St. Louis Cardinals,NL,154,54,98,2,0.355,0.398,7th of 8,56,,583,731,"299,982",26.4,24.1,35,14,E.Konetchy (4.8),R.Bresnahan (54-98)
1908,St. Louis Cardinals,NL,154,49,105,0,0.318,0.278,8th of 8,50,,372,626,"205,129",26.5,25.4,30,11,B.Raymond (4.0),J.McCloskey (49-105)
1907,St. Louis Cardinals,NL,155,52,101,2,0.34,0.335,8th of 8,55.5,,419,610,"185,377",26.1,26.9,30,11,E.Karger (6.6),J.McCloskey (52-101)
1906,St. Louis Cardinals,NL,154,52,98,4,0.347,0.385,7th of 8,63,,470,607,"283,770",28.5,25.8,41,16,J.Taylor (3.9),J.McCloskey (52-98)
1905,St. Louis Cardinals,NL,154,58,96,0,0.377,0.359,6th of 8,47.5,,535,734,"292,800",29,27.9,30,11,H.Smoot (3.4),"K.Nichols (5-9), J.Burke (34-56) and S.Robison (19-31)"
1904,St. Louis Cardinals,NL,155,75,79,1,0.487,0.505,5th of 8,31.5,,602,595,"386,750",28.7,29.5,25,8,K.Nichols (8.5),K.Nichols (75-79)
1903,St. Louis Cardinals,NL,139,43,94,2,0.314,0.304,8th of 8,46.5,,505,795,"226,538",27.5,25.3,32,17,M.Brown (2.6),P.Donovan (43-94)
1902,St. Louis Cardinals,NL,140,56,78,6,0.418,0.368,6th of 8,44.5,,517,695,"226,417",28.4,25.1,27,11,M.O'Neill (3.7),P.Donovan (56-78)
1901,St. Louis Cardinals,NL,142,76,64,2,0.543,0.563,4th of 8,14.5,,792,689,"379,988",28.8,25,25,12,B.Wallace (7.8),P.Donovan (76-64)
,,,,,,,,,,,,,,,,,,,,
